ID,Study,AgeinMonths,AgeCentered,AgeCat,AgeCatCentered,Gender,Race,Order,Original_FR_Judgment,Original_Con_Judgment,Original_FR_Preference,Original_Con_Preference,Original_FR_NoCostPunish,Original_Con_NoCostPunish,Original_FR_CostlyPunish,Original_Con_CostlyPunish,Original_FR_RewardDecision,Original_Con_RewardDecision,Original_FR_RewardGiven,Original_Con_RewardGiven,Comparison_FR_Judgment,Comparison_Con_Judgment,Comparison_FR_Preference,Comparison_Con_Preference,Comparison_FR_NoCostPunish,Comparison_Con_NoCostPunish,Comparison_FR_CostlyPunish,Comparison_Con_CostlyPunish,Comparison_FR_RewardDecision,Comparison_Con_RewardDecision,Comparison_FR_RewardGiven,Comparison_Con_RewardGiven
216,2,59.4,0.25,1,-1,0,1,7,2,3,2,3, , , , , , , , ,2,3,2,3, , , , , , , , 
217,2,60.2,1.05,1,-1,0,1,3,4,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
218,2,60.3,1.15,1,-1,1,1,5,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
219,2,60.53333333,1.38333333,1,-1,0,3,4,3,4,4,4, , , , , , , , ,4,3,4,4, , , , , , , , 
220,2,62.1,2.95,1,-1,0,1,7,2,4,4,4, , , , , , , , ,2,4,3,4, , , , , , , , 
221,2,62.3,3.15,1,-1,0,4,6,1,4,1,1, , , , , , , , ,1,1,1,1, , , , , , , , 
222,2,62.63333333,3.48333333,1,-1,1,1,1,2,4,1,4, , , , , , , , ,4,4,4,4, , , , , , , , 
223,2,64.36666667,5.21666667,1,-1,0,1,5,4,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
224,2,65.1,5.95,1,-1,1,1,1,2,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
225,2,66.3,7.15,1,-1,1,1,2,1,4,1,4, , , , , , , , ,1,4,4,4, , , , , , , , 
226,2,66.36666667,7.21666667,1,-1,0,1,7,4,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
227,2,66.93333333,7.78333333,1,-1,0,3,2,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
228,2,68.53333333,9.38333333,1,-1,0,1,4,2,4,2,4, , , , , , , , ,4,4,4,4, , , , , , , , 
229,2,69.23333333,10.08333333,1,-1,0,1,8,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
230,2,69.46666667,10.31666667,1,-1,1,4,8,2,3,2,3, , , , , , , , ,2,4,4,3, , , , , , , , 
231,2,70.46666667,11.31666667,1,-1,1,3,3,1,1,1,1, , , , , , , , ,1,1,1,1, , , , , , , , 
232,2,71.23333333,12.08333333,1,-1,1,1,6,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
301,3,48,-40.40625,1,-1,0,1,6,1,4,1,4, , , , , , , , ,1,3,1,3, , , , , , , , 
302,3,51,-37.40625,1,-1,0,1,1,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
303,3,52,-36.40625,1,-1,0,1,3,4,4,4,4, , , , , , , , ,3,4,3,4, , , , , , , , 
304,3,52,-36.40625,1,-1,1,1,4,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
305,3,53,-35.40625,1,-1,0,1,3,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
306,3,53,-35.40625,1,-1,1,1,5,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
307,3,53,-35.40625,1,-1,0,4,8,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
308,3,54,-34.40625,1,-1,1,1,6,2,4,2,4, , , , , , , , ,1,1,2,4, , , , , , , , 
309,3,54,-34.40625,1,-1,0,1,7,2,4,4,4, , , , , , , , ,2,4,4,4, , , , , , , , 
310,3,58,-30.40625,1,-1,1,4,2,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
311,3,59,-29.40625,1,-1,1,1,2,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
312,3,61,-27.40625,1,-1,0,1,5,3,3,3,3, , , , , , , , ,3,2,3,3, , , , , , , , 
313,3,65,-23.40625,1,-1,0,1,1,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
314,3,66,-22.40625,1,-1,0,1,7,4,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
315,3,66,-22.40625,1,-1,1,1,8,1,4,1,4, , , , , , , , ,1,4,1,3, , , , , , , , 
316,3,69,-19.40625,1,-1,0,1,4,4,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
